Year,Month,Species,State,log.metric.tons,metric.tons,Value
1999,Jan,Chinook,WA,-0.916290731874155,0.4,1365
1999,Feb,Chinook,WA,NA,NA,NA
1999,Mar,Chinook,WA,-2.30258509299405,0.1,260
1999,Apr,Chinook,WA,NA,NA,NA
1999,May,Chinook,WA,3.58351893845611,36,158881
1999,Jun,Chinook,WA,4.72295322164447,112.5,327167
1999,Jul,Chinook,WA,4.22390976657674,68.3,165585
1999,Aug,Chinook,WA,5.54165562514777,255.1,526665
1999,Sep,Chinook,WA,6.18785336111337,486.8,599474
1999,Oct,Chinook,WA,4.59309760475382,98.8,246076
1999,Nov,Chinook,WA,2.16332302566054,8.7,3846
1999,Dec,Chinook,WA,-1.20397280432594,0.3,775
2000,Jan,Chinook,WA,NA,NA,NA
2000,Feb,Chinook,WA,NA,NA,NA
2000,Mar,Chinook,WA,NA,NA,NA
2000,Apr,Chinook,WA,NA,NA,NA
2000,May,Chinook,WA,NA,NA,NA
2000,Jun,Chinook,WA,NA,NA,NA
2000,Jul,Chinook,WA,NA,NA,NA
2000,Aug,Chinook,WA,NA,NA,NA
2000,Sep,Chinook,WA,NA,NA,NA
2000,Oct,Chinook,WA,NA,NA,NA
2000,Nov,Chinook,WA,NA,NA,NA
2000,Dec,Chinook,WA,NA,NA,NA
2001,Jan,Chinook,WA,NA,NA,NA
2001,Feb,Chinook,WA,NA,NA,NA
2001,Mar,Chinook,WA,NA,NA,NA
2001,Apr,Chinook,WA,NA,NA,NA
2001,May,Chinook,WA,NA,NA,NA
2001,Jun,Chinook,WA,NA,NA,NA
2001,Jul,Chinook,WA,NA,NA,NA
2001,Aug,Chinook,WA,NA,NA,NA
2001,Sep,Chinook,WA,NA,NA,NA
2001,Oct,Chinook,WA,NA,NA,NA
2001,Nov,Chinook,WA,NA,NA,NA
2001,Dec,Chinook,WA,NA,NA,NA
2002,Jan,Chinook,WA,NA,NA,NA
2002,Feb,Chinook,WA,NA,NA,NA
2002,Mar,Chinook,WA,NA,NA,NA
2002,Apr,Chinook,WA,NA,NA,NA
2002,May,Chinook,WA,NA,NA,NA
2002,Jun,Chinook,WA,NA,NA,NA
2002,Jul,Chinook,WA,NA,NA,NA
2002,Aug,Chinook,WA,NA,NA,NA
2002,Sep,Chinook,WA,NA,NA,NA
2002,Oct,Chinook,WA,NA,NA,NA
2002,Nov,Chinook,WA,NA,NA,NA
2002,Dec,Chinook,WA,NA,NA,NA
2003,Jan,Chinook,WA,NA,NA,NA
2003,Feb,Chinook,WA,NA,NA,NA
2003,Mar,Chinook,WA,NA,NA,NA
2003,Apr,Chinook,WA,NA,NA,NA
2003,May,Chinook,WA,NA,NA,NA
2003,Jun,Chinook,WA,NA,NA,NA
2003,Jul,Chinook,WA,NA,NA,NA
2003,Aug,Chinook,WA,NA,NA,NA
2003,Sep,Chinook,WA,NA,NA,NA
2003,Oct,Chinook,WA,NA,NA,NA
2003,Nov,Chinook,WA,NA,NA,NA
2003,Dec,Chinook,WA,NA,NA,NA
2004,Jan,Chinook,WA,NA,NA,NA
2004,Feb,Chinook,WA,NA,NA,NA
2004,Mar,Chinook,WA,NA,NA,NA
2004,Apr,Chinook,WA,NA,NA,NA
2004,May,Chinook,WA,NA,NA,NA
2004,Jun,Chinook,WA,NA,NA,NA
2004,Jul,Chinook,WA,NA,NA,NA
2004,Aug,Chinook,WA,NA,NA,NA
2004,Sep,Chinook,WA,NA,NA,NA
2004,Oct,Chinook,WA,NA,NA,NA
2004,Nov,Chinook,WA,NA,NA,NA
2004,Dec,Chinook,WA,NA,NA,NA
2005,Jan,Chinook,WA,NA,NA,NA
2005,Feb,Chinook,WA,NA,NA,NA
2005,Mar,Chinook,WA,NA,NA,NA
2005,Apr,Chinook,WA,NA,NA,NA
2005,May,Chinook,WA,NA,NA,NA
2005,Jun,Chinook,WA,NA,NA,NA
2005,Jul,Chinook,WA,NA,NA,NA
2005,Aug,Chinook,WA,NA,NA,NA
2005,Sep,Chinook,WA,NA,NA,NA
2005,Oct,Chinook,WA,NA,NA,NA
2005,Nov,Chinook,WA,NA,NA,NA
2005,Dec,Chinook,WA,NA,NA,NA
2006,Jan,Chinook,WA,NA,NA,NA
2006,Feb,Chinook,WA,NA,NA,NA
2006,Mar,Chinook,WA,NA,NA,NA
2006,Apr,Chinook,WA,NA,NA,NA
2006,May,Chinook,WA,NA,NA,NA
2006,Jun,Chinook,WA,NA,NA,NA
2006,Jul,Chinook,WA,NA,NA,NA
2006,Aug,Chinook,WA,NA,NA,NA
2006,Sep,Chinook,WA,NA,NA,NA
2006,Oct,Chinook,WA,NA,NA,NA
2006,Nov,Chinook,WA,NA,NA,NA
2006,Dec,Chinook,WA,NA,NA,NA
2007,Jan,Chinook,WA,NA,NA,NA
2007,Feb,Chinook,WA,NA,NA,NA
2007,Mar,Chinook,WA,NA,NA,NA
2007,Apr,Chinook,WA,NA,NA,NA
2007,May,Chinook,WA,NA,NA,NA
2007,Jun,Chinook,WA,NA,NA,NA
2007,Jul,Chinook,WA,NA,NA,NA
2007,Aug,Chinook,WA,NA,NA,NA
2007,Sep,Chinook,WA,NA,NA,NA
2007,Oct,Chinook,WA,NA,NA,NA
2007,Nov,Chinook,WA,NA,NA,NA
2007,Dec,Chinook,WA,NA,NA,NA
2008,Jan,Chinook,WA,NA,NA,NA
2008,Feb,Chinook,WA,NA,NA,NA
2008,Mar,Chinook,WA,NA,NA,NA
2008,Apr,Chinook,WA,NA,NA,NA
2008,May,Chinook,WA,NA,NA,NA
2008,Jun,Chinook,WA,NA,NA,NA
2008,Jul,Chinook,WA,NA,NA,NA
2008,Aug,Chinook,WA,NA,NA,NA
2008,Sep,Chinook,WA,NA,NA,NA
2008,Oct,Chinook,WA,NA,NA,NA
2008,Nov,Chinook,WA,NA,NA,NA
2008,Dec,Chinook,WA,NA,NA,NA
2009,Jan,Chinook,WA,NA,NA,NA
2009,Feb,Chinook,WA,NA,NA,NA
2009,Mar,Chinook,WA,NA,NA,NA
2009,Apr,Chinook,WA,NA,NA,NA
2009,May,Chinook,WA,NA,NA,NA
2009,Jun,Chinook,WA,NA,NA,NA
2009,Jul,Chinook,WA,NA,NA,NA
2009,Aug,Chinook,WA,NA,NA,NA
2009,Sep,Chinook,WA,NA,NA,NA
2009,Oct,Chinook,WA,NA,NA,NA
2009,Nov,Chinook,WA,NA,NA,NA
2009,Dec,Chinook,WA,NA,NA,NA
2010,Jan,Chinook,WA,NA,NA,NA
2010,Feb,Chinook,WA,NA,NA,NA
2010,Mar,Chinook,WA,NA,NA,NA
2010,Apr,Chinook,WA,NA,NA,NA
2010,May,Chinook,WA,NA,NA,NA
2010,Jun,Chinook,WA,NA,NA,NA
2010,Jul,Chinook,WA,NA,NA,NA
2010,Aug,Chinook,WA,NA,NA,NA
2010,Sep,Chinook,WA,NA,NA,NA
2010,Oct,Chinook,WA,NA,NA,NA
2010,Nov,Chinook,WA,NA,NA,NA
2010,Dec,Chinook,WA,NA,NA,NA
2011,Jan,Chinook,WA,NA,NA,NA
2011,Feb,Chinook,WA,NA,NA,NA
2011,Mar,Chinook,WA,NA,NA,NA
2011,Apr,Chinook,WA,NA,NA,NA
2011,May,Chinook,WA,NA,NA,NA
2011,Jun,Chinook,WA,NA,NA,NA
2011,Jul,Chinook,WA,NA,NA,NA
2011,Aug,Chinook,WA,NA,NA,NA
2011,Sep,Chinook,WA,NA,NA,NA
2011,Oct,Chinook,WA,NA,NA,NA
2011,Nov,Chinook,WA,NA,NA,NA
2011,Dec,Chinook,WA,NA,NA,NA
2012,Jan,Chinook,WA,NA,NA,NA
2012,Feb,Chinook,WA,NA,NA,NA
2012,Mar,Chinook,WA,NA,NA,NA
2012,Apr,Chinook,WA,NA,NA,NA
2012,May,Chinook,WA,NA,NA,NA
2012,Jun,Chinook,WA,NA,NA,NA
2012,Jul,Chinook,WA,NA,NA,NA
2012,Aug,Chinook,WA,NA,NA,NA
2012,Sep,Chinook,WA,NA,NA,NA
2012,Oct,Chinook,WA,NA,NA,NA
2012,Nov,Chinook,WA,NA,NA,NA
2012,Dec,Chinook,WA,NA,NA,NA
2013,Jan,Chinook,WA,NA,NA,NA
2013,Feb,Chinook,WA,NA,NA,NA
2013,Mar,Chinook,WA,NA,NA,NA
2013,Apr,Chinook,WA,NA,NA,NA
2013,May,Chinook,WA,NA,NA,NA
2013,Jun,Chinook,WA,NA,NA,NA
2013,Jul,Chinook,WA,NA,NA,NA
2013,Aug,Chinook,WA,NA,NA,NA
2013,Sep,Chinook,WA,NA,NA,NA
2013,Oct,Chinook,WA,NA,NA,NA
2013,Nov,Chinook,WA,NA,NA,NA
2013,Dec,Chinook,WA,NA,NA,NA
2014,Jan,Chinook,WA,1.43508452528932,4.2,49522
2014,Feb,Chinook,WA,0.53062825106217,1.7,19943
2014,Mar,Chinook,WA,0.741937344729377,2.1,33685
2014,Apr,Chinook,WA,1.85629799036563,6.4,102815
2014,May,Chinook,WA,5.50817302353531,246.7,2940214
2014,Jun,Chinook,WA,5.26734256224861,193.9,2067862
2014,Jul,Chinook,WA,5.59879226079857,270.1,2003012
2014,Aug,Chinook,WA,6.24649428728451,516.2,2812219
2014,Sep,Chinook,WA,NA,NA,5919031
2014,Oct,Chinook,WA,5.75161980407036,314.7,849065
